nohup: ignoring input
phoenix-srun: job 4931560 queued and waiting for resources
phoenix-srun: job 4931560 has been allocated resources
phoenix-srun: Job 4931560 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.42s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.49s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.51s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.08s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.23s/it]
======================================== Config ========================================
lora: 
    enable: false,
    r: 8,
    a: 16,
    dropout: 0
========================================================================================
[33mcorpus: [39;49;00m[32m[Kdata/slimpajama/arxiv.json:	1000/1000[39;49;00m
[33mBase GPU memory allocated:[39;49;00m[32m15316 MB[39;49;00m
/mnt/petrelfs/lijie/miniconda3/envs/llava/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
step-245   | loss: 7.844 | avg time: 0.182 | max memory: 31228.685 | seq len:       7207
step-246   | loss: 7.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7194
step-247   | loss: 7.688 | avg time: 0.182 | max memory: 31228.685 | seq len:       7194
step-248   | loss: 7.688 | avg time: 0.182 | max memory: 31228.685 | seq len:       7195
step-249   | loss: 7.406 | avg time: 0.182 | max memory: 31228.685 | seq len:       7195
step-250   | loss: 7.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7195
step-251   | loss: 8.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7188
step-252   | loss: 7.594 | avg time: 0.182 | max memory: 31228.685 | seq len:       7184
step-253   | loss: 7.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7184
step-254   | loss: 7.719 | avg time: 0.182 | max memory: 31228.685 | seq len:       7186
step-255   | loss: 6.781 | avg time: 0.182 | max memory: 31228.685 | seq len:       7198
step-256   | loss: 7.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7185
step-257   | loss: 7.469 | avg time: 0.182 | max memory: 31228.685 | seq len:       7186
step-258   | loss: 8.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7183
step-259   | loss: 7.344 | avg time: 0.182 | max memory: 31228.685 | seq len:       7183
step-260   | loss: 7.781 | avg time: 0.182 | max memory: 31228.685 | seq len:       7178
step-261   | loss: 6.906 | avg time: 0.182 | max memory: 31228.685 | seq len:       7183
step-262   | loss: 7.844 | avg time: 0.182 | max memory: 31228.685 | seq len:       7181
step-263   | loss: 7.750 | avg time: 0.182 | max memory: 31228.685 | seq len:       7180
step-264   | loss: 7.062 | avg time: 0.182 | max memory: 31228.685 | seq len:       7184
step-265   | loss: 7.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7186
step-266   | loss: 7.000 | avg time: 0.182 | max memory: 31228.685 | seq len:       7191
